"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"1017637","Terpsiphone affinis","Oriental Paradise-flycatcher","Monarchidae (Monarchs)","LC"
"5528","Lanius cristatus","Brown Shrike","Laniidae (Shrikes)","LC"
"5526","Lanius collurio","Red-backed Shrike","Laniidae (Shrikes)","LC"
"1017642","Lanius phoenicuroides","Red-tailed Shrike","Laniidae (Shrikes)","LC"
"1017641","Lanius isabellinus","Isabelline Shrike","Laniidae (Shrikes)","LC"
"5529","Lanius collurioides","Burmese Shrike","Laniidae (Shrikes)","LC"
"5532","Lanius vittatus","Bay-backed Shrike","Laniidae (Shrikes)","LC"
"5533","Lanius schach","Long-tailed Shrike","Laniidae (Shrikes)","LC"
"5534","Lanius tephronotus","Grey-backed Shrike","Laniidae (Shrikes)","LC"
"1017645","Lanius excubitor","Great Grey Shrike","Laniidae (Shrikes)","LC"
"7013","Cephalopyrus flammiceps","Fire-capped Tit","Paridae (Tits and chickadees)","LC"
"1018375","Alaudala rufescens","Lesser Short-toed Lark","Alaudidae (Larks)","LC"
"8146","Melanocorypha bimaculata","Bimaculated Lark","Alaudidae (Larks)","LC"
"8155","Calandrella acutirostris","Hume's Lark","Alaudidae (Larks)","LC"
"1017748","Calandrella dukhunensis","Eastern Short-toed Lark","Alaudidae (Larks)","LC"
"8181","Eremophila alpestris","Horned Lark","Alaudidae (Larks)","LC"
"1017239","Alauda arvensis","Eurasian Skylark","Alaudidae (Larks)","LC"
"8179","Alauda gulgula","Oriental Skylark","Alaudidae (Larks)","LC"
"8169","Galerida cristata","Crested Lark","Alaudidae (Larks)","LC"
"7627","Arundinax aedon","Thick-billed Warbler","Acrocephalidae","LC"
"7630","Iduna caligata","Booted Warbler","Acrocephalidae","LC"
"7631","Iduna rama","Sykes's Warbler","Acrocephalidae","LC"
"7633","Hippolais languida","Upcher's Warbler","Acrocephalidae","LC"
"7600","Acrocephalus bistrigiceps","Black-browed Reed-warbler","Acrocephalidae","LC"
"7596","Acrocephalus melanopogon","Moustached Warbler","Acrocephalidae","LC"
"7605","Acrocephalus dumetorum","Blyth's Reed-warbler","Acrocephalidae","LC"
"7601","Acrocephalus agricola","Paddyfield Warbler","Acrocephalidae","LC"
"7602","Acrocephalus concinens","Blunt-winged Warbler","Acrocephalidae","LC"
"32221","Acrocephalus orientalis","Oriental Reed-warbler","Acrocephalidae","LC"
"7608","Acrocephalus stentoreus","Clamorous Reed-warbler","Acrocephalidae","LC"
"7590","Locustella certhiola","Pallas's Grasshopper-warbler","Locustellidae","LC"
"7588","Locustella lanceolata","Lanceolated Warbler","Locustellidae","LC"
"7568","Locustella tacsanowskia","Chinese Grasshopper-warbler","Locustellidae","LC"
"31623","Locustella davidi","Baikal Grasshopper-warbler","Locustellidae","LC"
"32546","Locustella kashmirensis","Himalayan Grasshopper-warbler","Locustellidae","LC"
"1017876","Locustella thoracica","Spotted Grasshopper-warbler","Locustellidae","LC"
"7773","Chaetornis striata","Bristled Grassbird","Locustellidae","VU"
"1017973","Delichon urbicum","Northern House Martin","Hirundinidae (Swallows and martins)","LC"
"7151","Delichon dasypus","Asian House Martin","Hirundinidae (Swallows and martins)","LC"
"7147","Petrochelidon fluvicola","Streak-throated Swallow","Hirundinidae (Swallows and martins)","LC"
"1017983","Cecropis daurica","Red-rumped Swallow","Hirundinidae (Swallows and martins)","LC"
"7116","Hirundo rustica","Barn Swallow","Hirundinidae (Swallows and martins)","LC"
"7112","Ptyonoprogne rupestris","Eurasian Crag Martin","Hirundinidae (Swallows and martins)","LC"
"7113","Ptyonoprogne obsoleta","Pale Rock Martin","Hirundinidae (Swallows and martins)","LC"
"1018011","Riparia chinensis","Asian Plain Martin","Hirundinidae (Swallows and martins)","LC"
"1018013","Riparia riparia","Collared Sand Martin","Hirundinidae (Swallows and martins)","LC"
"32628","Riparia diluta","Pale Sand Martin","Hirundinidae (Swallows and martins)","LC"
"1018086","Hypsipetes ganeesa","Square-tailed Bulbul","Pycnonotidae (Bulbuls)","LC"
"1018085","Hypsipetes leucocephalus","Black Bulbul","Pycnonotidae (Bulbuls)","LC"
"7195","Pycnonotus leucogenys","Himalayan Bulbul","Pycnonotidae (Bulbuls)","LC"
"7719","Phylloscopus inornatus","Yellow-browed Warbler","Phylloscopidae","LC"
"30245","Phylloscopus humei","Hume's Leaf-warbler","Phylloscopidae","LC"
"7707","Phylloscopus fuscatus","Dusky Warbler","Phylloscopidae","LC"
"1018138","Phylloscopus tristis","Siberian Chiffchaff","Phylloscopidae","LC"
"30128","Phylloscopus sindianus","Mountain Chiffchaff","Phylloscopidae","LC"
"7704","Phylloscopus neglectus","Plain Leaf-warbler","Phylloscopidae","LC"
"7725","Phylloscopus tytleri","Tytler's Leaf-warbler","Phylloscopidae","NT"
"7711","Phylloscopus griseolus","Sulphur-bellied Warbler","Phylloscopidae","LC"
"7709","Phylloscopus affinis","Tickell's Leaf-warbler","Phylloscopidae","LC"
"32281","Phylloscopus burkii","Green-crowned Warbler","Phylloscopidae","LC"
"31756","Phylloscopus tephrocephalus","Grey-crowned Warbler","Phylloscopidae","LC"
"31356","Phylloscopus nitidus","Green Warbler","Phylloscopidae","LC"
"1018141","Phylloscopus trochiloides","Greenish Warbler","Phylloscopidae","LC"
"7724","Phylloscopus magnirostris","Large-billed Leaf-warbler","Phylloscopidae","LC"
"32267","Phylloscopus claudiae","Claudia's Leaf-warbler","Phylloscopidae","LC"
"7726","Phylloscopus occipitalis","Western Crowned Leaf-warbler","Phylloscopidae","LC"
"32426","Sylvia curruca","Lesser Whitethroat","Sylviidae (Old World warblers)","LC"
"7455","Zosterops palpebrosus","Oriental White-eye","Zosteropidae (White-eyes)","LC"
"6904","Tichodroma muraria","Wallcreeper","Sittidae (Nuthatches and Wallcreeper)","LC"
"1018282","Troglodytes troglodytes","Northern Wren","Troglodytidae (Wrens)","LC"
"6273","Cinclus cinclus","White-throated Dipper","Cinclidae (Dippers)","LC"
"6814","Pastor roseus","Rosy Starling","Sturnidae (Starlings)","LC"
"6811","Agropsar sturninus","Purple-backed Starling","Sturnidae (Starlings)","LC"
"6813","Sturnia sinensis","White-shouldered Starling","Sturnidae (Starlings)","LC"
"6809","Sturnia pagodarum","Brahminy Starling","Sturnidae (Starlings)","LC"
"6802","Saroglossa spilopterus","Spot-winged Starling","Sturnidae (Starlings)","LC"
"1018258","Zoothera aurea","White's Thrush","Turdidae (Thrushes)","LC"
"1018257","Zoothera dauma","Scaly Thrush","Turdidae (Thrushes)","LC"
"6314","Geokichla sibirica","Siberian Thrush","Turdidae (Thrushes)","LC"
"6309","Geokichla wardii","Pied Thrush","Turdidae (Thrushes)","LC"
"6312","Geokichla citrina","Orange-headed Thrush","Turdidae (Thrushes)","LC"
"1018343","Turdus simillimus","Indian Blackbird","Turdidae (Thrushes)","LC"
"6388","Turdus unicolor","Tickell's Thrush","Turdidae (Thrushes)","LC"
"6399","Turdus obscurus","Eyebrowed Thrush","Turdidae (Thrushes)","LC"
"6398","Turdus feae","Grey-sided Thrush","Turdidae (Thrushes)","VU"
"1018347","Turdus maximus","Tibetan Blackbird","Turdidae (Thrushes)","LC"
"32639","Turdus eunomus","Dusky Thrush","Turdidae (Thrushes)","LC"
"6633","Cercotrichas galactotes","Rufous-tailed Scrub-robin","Muscicapidae (Chats and Old World flycatchers)","LC"
"6489","Muscicapa sibirica","Dark-sided Flycatcher","Muscicapidae (Chats and Old World flycatchers)","LC"
"6495","Muscicapa ferruginea","Ferruginous Flycatcher","Muscicapidae (Chats and Old World flycatchers)","LC"
"6494","Muscicapa muttui","Brown-breasted Flycatcher","Muscicapidae (Chats and Old World flycatchers)","LC"
"6490","Muscicapa dauurica","Asian Brown Flycatcher","Muscicapidae (Chats and Old World flycatchers)","LC"
"6542","Eumyias thalassinus","Verditer Flycatcher","Muscicapidae (Chats and Old World flycatchers)","LC"
"1017711","Cyornis nicobaricus","Nicobar Jungle-flycatcher","Muscicapidae (Chats and Old World flycatchers)","NT"
"32598","Cyornis magnirostris","Large Blue-flycatcher","Muscicapidae (Chats and Old World flycatchers)","LC"
"1017723","Cyornis rubeculoides","Blue-throated Blue-flycatcher","Muscicapidae (Chats and Old World flycatchers)","LC"
"6600","Larvivora brunnea","Indian Blue Robin","Muscicapidae (Chats and Old World flycatchers)","LC"
"6601","Larvivora cyane","Siberian Blue Robin","Muscicapidae (Chats and Old World flycatchers)","LC"
"6596","Cyanecula svecica","Bluethroat","Muscicapidae (Chats and Old World flycatchers)","LC"
"6599","Calliope pectardens","Firethroat","Muscicapidae (Chats and Old World flycatchers)","NT"
"6594","Calliope calliope","Siberian Rubythroat","Muscicapidae (Chats and Old World flycatchers)","LC"
"1017761","Calliope pectoralis","Himalayan Rubythroat","Muscicapidae (Chats and Old World flycatchers)","LC"
"1017762","Calliope tschebaiewi","Chinese Rubythroat","Muscicapidae (Chats and Old World flycatchers)","LC"
"1018387","Tarsiger cyanurus","Orange-flanked Bush-robin","Muscicapidae (Chats and Old World flycatchers)","LC"
"32640","Tarsiger rufilatus","Himalayan Bush-robin","Muscicapidae (Chats and Old World flycatchers)","LC"
"6603","Tarsiger chrysaeus","Golden Bush-robin","Muscicapidae (Chats and Old World flycatchers)","LC"
"6518","Ficedula erithacus","Slaty-backed Flycatcher","Muscicapidae (Chats and Old World flycatchers)","LC"
"6519","Ficedula strophiata","Rufous-gorgeted Flycatcher","Muscicapidae (Chats and Old World flycatchers)","LC"
"6536","Ficedula superciliaris","Ultramarine Flycatcher","Muscicapidae (Chats and Old World flycatchers)","LC"
"6493","Ficedula ruficauda","Rusty-tailed Flycatcher","Muscicapidae (Chats and Old World flycatchers)","LC"
"32599","Ficedula parva","Red-breasted Flycatcher","Muscicapidae (Chats and Old World flycatchers)","LC"
"32239","Ficedula albicilla","Red-throated Flycatcher","Muscicapidae (Chats and Old World flycatchers)","LC"
"6521","Ficedula subrubra","Kashmir Flycatcher","Muscicapidae (Chats and Old World flycatchers)","VU"
"6649","Phoenicurus erythronotus","Eversmann's Redstart","Muscicapidae (Chats and Old World flycatchers)","LC"
"6651","Phoenicurus ochruros","Black Redstart","Muscicapidae (Chats and Old World flycatchers)","LC"
"6655","Phoenicurus auroreus","Daurian Redstart","Muscicapidae (Chats and Old World flycatchers)","LC"
"6657","Phoenicurus erythrogastrus","White-winged Redstart","Muscicapidae (Chats and Old World flycatchers)","LC"
"6653","Phoenicurus hodgsoni","Hodgson's Redstart","Muscicapidae (Chats and Old World flycatchers)","LC"
"6292","Monticola cinclorhyncha","Blue-capped Rock-thrush","Muscicapidae (Chats and Old World flycatchers)","LC"
"6294","Monticola rufiventris","Chestnut-bellied Rock-thrush","Muscicapidae (Chats and Old World flycatchers)","LC"
"6295","Monticola solitarius","Blue Rock-thrush","Muscicapidae (Chats and Old World flycatchers)","LC"
"6680","Saxicola insignis","White-throated Bushchat","Muscicapidae (Chats and Old World flycatchers)","VU"
"6685","Saxicola caprata","Pied Bushchat","Muscicapidae (Chats and Old World flycatchers)","LC"
"6682","Saxicola torquatus","Common Stonechat","Muscicapidae (Chats and Old World flycatchers)","LC"
"6709","Oenanthe isabellina","Isabelline Wheatear","Muscicapidae (Chats and Old World flycatchers)","LC"
"6707","Oenanthe deserti","Desert Wheatear","Muscicapidae (Chats and Old World flycatchers)","LC"
"6704","Oenanthe pleschanka","Pied Wheatear","Muscicapidae (Chats and Old World flycatchers)","LC"
"6701","Oenanthe picata","Variable Wheatear","Muscicapidae (Chats and Old World flycatchers)","LC"
"6700","Oenanthe finschii","Finsch's Wheatear","Muscicapidae (Chats and Old World flycatchers)","LC"
"32384","Oenanthe chrysopygia","Red-tailed Wheatear","Muscicapidae (Chats and Old World flycatchers)","LC"
"7310","Hypocolius ampelinus","Hypocolius","Hypocoliidae","LC"
"8467","Prunella collaris","Alpine Accentor","Prunellidae (Accentors)","LC"
"8475","Prunella atrogularis","Black-throated Accentor","Prunellidae (Accentors)","LC"
"8368","Passer hispaniolensis","Spanish Sparrow","Passeridae (Sparrows, snowfinches and allies)","LC"
"8373","Passer moabiticus","Dead Sea Sparrow","Passeridae (Sparrows, snowfinches and allies)","LC"
"8402","Dendronanthus indicus","Forest Wagtail","Motacillidae (Wagtails and pipits)","LC"
"8446","Anthus trivialis","Tree Pipit","Motacillidae (Wagtails and pipits)","LC"
"8447","Anthus hodgsoni","Olive-backed Pipit","Motacillidae (Wagtails and pipits)","LC"
"8450","Anthus cervinus","Red-throated Pipit","Motacillidae (Wagtails and pipits)","LC"
"8451","Anthus roseatus","Rosy Pipit","Motacillidae (Wagtails and pipits)","LC"
"8454","Anthus rubescens","Buff-bellied Pipit","Motacillidae (Wagtails and pipits)","LC"
"8453","Anthus spinoletta","Water Pipit","Motacillidae (Wagtails and pipits)","LC"
"1018054","Anthus richardi","Richard's Pipit","Motacillidae (Wagtails and pipits)","LC"
"8437","Anthus godlewskii","Blyth's Pipit","Motacillidae (Wagtails and pipits)","LC"
"8436","Anthus campestris","Tawny Pipit","Motacillidae (Wagtails and pipits)","LC"
"1018059","Motacilla flava","Western Yellow Wagtail","Motacillidae (Wagtails and pipits)","LC"
"8412","Motacilla cinerea","Grey Wagtail","Motacillidae (Wagtails and pipits)","LC"
"8410","Motacilla citreola","Citrine Wagtail","Motacillidae (Wagtails and pipits)","LC"
"1018060","Motacilla tschutschensis","Eastern Yellow Wagtail","Motacillidae (Wagtails and pipits)","LC"
"8403","Motacilla alba","White Wagtail","Motacillidae (Wagtails and pipits)","LC"
"8757","Fringilla montifringilla","Brambling","Fringillidae (Finches and Hawaiian honeycreepers)","LC"
"8854","Carpodacus erythrinus","Common Rosefinch","Fringillidae (Finches and Hawaiian honeycreepers)","LC"
"8839","Leucosticte nemoricola","Plain Mountain-finch","Fringillidae (Finches and Hawaiian honeycreepers)","LC"
"8840","Leucosticte brandti","Brandt's Mountain-finch","Fringillidae (Finches and Hawaiian honeycreepers)","LC"
"8810","Chloris spinoides","Yellow-breasted Greenfinch","Fringillidae (Finches and Hawaiian honeycreepers)","LC"
"8961","Emberiza bruniceps","Red-headed Bunting","Emberizidae (Buntings, American sparrows and allies)","LC"
"8949","Emberiza fucata","Chestnut-eared Bunting","Emberizidae (Buntings, American sparrows and allies)","LC"
"8935","Emberiza cia","Rock Bunting","Emberizidae (Buntings, American sparrows and allies)","LC"
"8939","Emberiza buchanani","Grey-necked Bunting","Emberizidae (Buntings, American sparrows and allies)","LC"
"8932","Emberiza stewarti","White-capped Bunting","Emberizidae (Buntings, American sparrows and allies)","LC"
"8931","Emberiza leucocephalos","Pine Bunting","Emberizidae (Buntings, American sparrows and allies)","LC"
"8966","Emberiza schoeniclus","Reed Bunting","Emberizidae (Buntings, American sparrows and allies)","LC"
"8954","Emberiza aureola","Yellow-breasted Bunting","Emberizidae (Buntings, American sparrows and allies)","EN"
"8950","Emberiza pusilla","Little Bunting","Emberizidae (Buntings, American sparrows and allies)","LC"
"1017759","Emberiza spodocephala","Black-faced Bunting","Emberizidae (Buntings, American sparrows and allies)","LC"
"8955","Emberiza rutila","Chestnut Bunting","Emberizidae (Buntings, American sparrows and allies)","LC"
